Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
6884,Ever Valencia,68,84,55,60,70,44,61,LM,3,27,Colombia,Sudamericana,América de Cali,,,,,
6884,Milton Valenzuela,68,75,44,65,68,62,69,LB,3,26,Argentina,CSSL,FC Lugano,,,,,
6884,Valera,68,83,62,61,71,26,42,RM,3,22,Spain,LALIGA EA SPORTS,Valencia CF,,,,,
6884,Álex Valle,68,72,46,64,68,62,67,LB,3,20,Spain,LALIGA EA SPORTS,FC Barcelona,,,,,
6884,Jules Van Cleemput,68,71,31,63,66,68,70,CB,2,27,Belgium,1A Pro League,KV Mechelen,,,,,
6884,Tom van de Looi,68,67,65,67,69,64,72,CDM,3,25,Holland,Liga Portugal,FC Famalicão,,,,,
6884,Davy van den Berg,68,66,66,66,67,60,75,CM,3,24,Holland,Eredivisie,PEC Zwolle,,,,,
6884,Jan Van den Bergh,68,65,52,60,63,69,71,CB,2,29,Belgium,Eredivisie,NAC Breda,,,,,
6884,Djevencio van der Kust,68,87,40,55,66,60,61,LB,2,23,Suriname,Eredivisie,Sparta Rotterdam,,,,,
6884,Tom Vandenberghe,68,68,65,61,69,29,70,GK,1,32,Belgium,1A Pro League,KV Kortrijk,68.0,65.0,61.0,70.0,69.0
6884,Jonathan Varane,68,59,46,62,65,66,72,CDM,2,23,France,EFL Championship,QPR,,,,,
6884,Cristopher Varela,68,64,68,71,70,33,65,GK,1,24,Venezuela,Sudamericana,Dep. La Guaira,64.0,68.0,71.0,65.0,70.0
6884,José Varela,68,66,64,71,69,52,57,CM,2,36,Uruguay,Sudamericana,Racing Club,,,,,
6884,Diego Pampín,68,70,40,61,64,64,61,LB,2,24,Spain,LALIGA HYPERMOTION,Levante UD,,,,,
6884,Dal Varešanović,68,65,63,65,70,40,53,CAM,3,23,Bosnia and Herzegovina,Trendyol Süper Lig,Çaykur Rizespor,,,,,
6884,Kenneth Vargas,68,82,69,50,68,22,54,ST,3,22,Costa Rica,Scottish Prem,Hearts,,,,,
6884,Kerwin Vargas,68,81,59,66,69,31,59,LW,4,22,Colombia,MLS,Charlotte FC,,,,,
6884,Aljoša Vasić,68,77,64,68,73,66,68,CM,3,22,Serbia,Serie BKT,Palermo,,,,,
6884,Devis Vásquez,68,67,66,68,71,38,64,GK,1,26,Colombia,Serie A Enilive,Empoli,67.0,66.0,68.0,64.0,71.0
6884,Ignacio Vázquez,68,43,29,40,43,70,77,CB,2,27,Argentina,Primera División,Platense,,,,,
6884,Román Vega,68,71,31,60,65,63,67,LB,2,20,Argentina,Sudamericana,Argentinos Jrs.,,,,,
6884,Dylan Vente,68,74,68,55,66,27,57,ST,3,25,Holland,Eredivisie,PEC Zwolle,,,,,
6884,Jesper Verlaat,68,50,26,47,55,67,79,CB,2,28,Holland,3. Liga,1860 München,,,,,
6884,Clément Vidal,68,47,35,47,57,69,68,CB,2,24,France,Ligue 2 BKT,AC Ajaccio,,,,,
6884,Gabriel Vidović,68,67,67,61,74,26,53,LW,4,20,Croatia,Bundesliga,1. FSV Mainz 05,,,,,
6884,Vieirinha,68,64,73,73,72,65,57,LB,4,38,Portugal,Hellas Liga,PAOK FC,,,,,
6884,Leonardo Villagra,68,70,70,58,63,23,66,ST,3,34,Paraguay,Sudamericana,S. Ameliano,,,,,
6884,Guido Villar,68,68,65,65,69,18,66,GK,1,29,Argentina,Libertadores,IDV,68.0,65.0,65.0,66.0,69.0
6884,Žan Vipotnik,68,63,68,55,66,22,62,ST,2,22,Slovenia,EFL Championship,Swansea City,,,,,
6884,Tabaré Viudez,68,67,68,70,71,26,54,RM,3,35,Uruguay,Sudamericana,Wanderers,,,,,
6884,Kostyantyn Vivcharenko,68,71,48,64,67,64,65,LB,2,22,Ukraine,Ukrayina Liha,Dynamo Kyiv,,,,,
6884,Kevin Viveros,68,75,63,65,71,49,55,RM,3,24,Colombia,Liga Colombia,Atl. Nacional,,,,,
6884,Cristian Volpato,68,61,64,67,70,39,60,CAM,3,20,Italy,Serie BKT,Sassuolo,,,,,
6884,Linus Egnell Wahlqvist,68,86,51,61,64,61,79,RB,2,27,Sweden,PKO BP Ekstraklasa,Pogoń Szczecin,,,,,
6884,Sandy Walsh,68,58,37,61,64,66,72,RB,3,29,Indonesia,1A Pro League,KV Mechelen,,,,,
6884,Christian Walton,68,69,68,64,69,35,66,GK,1,28,England,Premier League,Ipswich,69.0,68.0,64.0,66.0,69.0
6884,Wang Shangyuan,68,72,61,68,69,65,80,CM,3,31,China PR,CSL,Henan FC,,,,,
6884,Paul Wanner,68,69,55,66,73,44,49,CAM,4,18,Germany,Bundesliga,Heidenheim,,,,,
6884,Duncan Watmore,68,81,67,62,69,36,62,ST,3,30,England,EFL Championship,Millwall,,,,,
6884,Bartłomiej Wdowik,68,74,61,67,66,61,65,LB,2,23,Poland,Bundesliga 2,Hannover 96,,,,,
6884,Wei Shihao,68,87,62,61,71,35,64,LM,3,29,China PR,CSL,Rongcheng FC,,,,,
6884,Nahki Wells,68,73,68,63,68,44,65,ST,3,34,Bermuda,EFL Championship,Bristol City,,,,,
6884,Stephen Welsh,68,66,31,57,62,67,69,CB,2,24,Scotland,Scottish Prem,Celtic,,,,,
6884,Erick Wiemberg,68,70,51,62,64,65,72,LB,2,30,Chile,Libertadores,Colo-Colo,,,,,
6884,Caleb Wiley,68,76,52,63,72,62,63,LB,3,19,United States,Ligue 1 McDonald's,Strasbourg,,,,,
6884,Jetro Willems,68,64,63,69,68,66,72,LB,3,30,Holland,LALIGA HYPERMOTION,CD Castellón,,,,,
6884,Loïc Williams,68,69,37,53,59,67,77,CB,2,22,Spain,LALIGA HYPERMOTION,Granada CF,,,,,
6884,Ben Wilson,68,71,67,62,72,44,65,GK,1,32,England,EFL Championship,Coventry City,71.0,67.0,62.0,65.0,72.0
6884,Marten Winkler,68,90,63,58,70,24,61,RM,3,21,Germany,Bundesliga 2,Hertha BSC,,,,,
6884,Przemysław Wiśniewski,68,84,25,45,51,65,80,CB,2,26,Poland,Serie BKT,Spezia,,,,,
6884,Szymon Włodarczyk,68,71,68,51,65,23,72,ST,2,21,Poland,Serie BKT,Salernitana,,,,,
6884,Cauley Woodrow,68,56,71,59,68,30,65,ST,3,29,England,EFL Championship,Luton Town,,,,,
6884,Taulant Xhaka,68,64,62,66,67,64,76,CDM,3,33,Albania,CSSL,FC Basel 1893,,,,,
6884,Xie Pengfei,68,80,62,64,67,49,68,RM,3,31,China PR,CSL,Shanghai Shenhua,,,,,
6884,Kevin Yakob,68,70,63,69,72,62,66,CM,3,23,Iraq,3F Superliga,AGF,,,,,
6884,Erencan Yardımcı,68,76,64,52,67,28,72,ST,2,22,Turkey,Ö. Bundesliga,SK Sturm Graz,,,,,
6884,Yehor Yarmoliuk,68,67,61,68,71,47,64,CAM,3,20,Ukraine,Premier League,Brentford,,,,,
6884,Yaw Yeboah,68,89,61,59,69,58,59,LM,3,27,Ghana,MLS,Columbus Crew,,,,,
6884,Kartal Yılmaz,68,67,52,71,66,64,68,CDM,3,23,Turkey,Trendyol Süper Lig,Kayserispor,,,,,
6884,Frank Ysique,68,56,55,61,64,64,64,CDM,2,28,Peru,Sudamericana,UCV,,,,,
6884,Facundo Zabala,68,74,36,59,60,63,56,LB,2,25,Argentina,Sudamericana,Olimpia,,,,,
6884,Žan Zaletel,68,53,28,47,53,68,71,CB,2,24,Slovenia,3F Superliga,Viborg FF,,,,,
6884,Franco Zanelatto,68,75,66,62,69,50,66,RM,3,24,Paraguay,Libertadores,Alianza Lima,,,,,
6884,Gyasi Zardes,68,68,65,52,62,43,76,ST,3,33,United States,MLS,Austin FC,,,,,
6884,Cristián Zavala,68,89,57,61,71,36,55,RW,4,25,Chile,Libertadores,Colo-Colo,,,,,
6884,Moustafa Zeidan,68,61,64,68,73,52,67,CAM,3,26,Palestine,Eliteserien,Rosenborg BK,,,,,
6884,Manuel Zeitz,68,51,54,57,58,67,77,CB,2,34,Germany,3. Liga,Saarbrücken,,,,,
6884,Jordan Zemura,68,73,39,59,67,64,59,LB,2,24,Zimbabwe,Serie A Enilive,Udinese,,,,,
6884,Altin Zeqiri,68,72,71,62,69,32,55,LW,3,24,Kosovo,Trendyol Süper Lig,Çaykur Rizespor,,,,,
6884,Nathan Zézé,68,64,31,45,49,70,63,CB,2,19,France,Ligue 1 McDonald's,FC Nantes,,,,,
6884,Reto Ziegler,68,43,63,71,65,68,70,CB,2,38,Switzerland,CSSL,FC Sion,,,,,
6884,Lukáš Zima,68,69,66,62,67,42,69,GK,1,30,Czech Republic,SUPERLIGA,FC Petrolul,69.0,66.0,62.0,69.0,67.0
6884,Dilan Zúñiga,68,79,45,59,67,62,65,LB,2,28,Chile,Libertadores,Palestino,,,,,
7937,Shiloh 't Zand,67,76,67,63,70,54,63,CAM,4,21,Holland,Eredivisie,Heracles Almelo,,,,,
7937,Toni Abad,67,74,34,60,61,61,72,RB,3,27,Spain,LALIGA HYPERMOTION,SD Huesca,,,,,
7937,Nelson Abbey,67,74,25,47,56,66,71,CB,2,21,England,EFL Championship,Swansea City,,,,,
7937,Luciano Abecasis,67,75,49,62,65,63,75,RB,3,34,Argentina,Primera División,Ind. Rivadavia,,,,,
7937,Fabio Abiuso,67,58,68,56,64,35,69,ST,3,21,Italy,Serie BKT,Modena,,,,,
7937,Peter Abrahamsson,67,67,68,67,68,41,65,GK,1,36,Sweden,Allsvenskan,BK Häcken,67.0,68.0,67.0,65.0,68.0
7937,Giorgi Aburjania,67,52,62,67,68,63,72,CM,2,29,Georgia,Liga Portugal,AVS Futebol SAD,,,,,
7937,Sargis Adamyan,67,70,68,62,71,34,67,ST,4,31,Armenia,Bundesliga 2,1. FC Köln,,,,,
7937,Nathaniel Adjei,67,78,25,44,57,66,71,CB,2,22,Ghana,Ligue 2 BKT,FC Lorient,,,,,
7937,Bismark Adjei-Boateng,67,74,63,58,66,62,81,CDM,2,30,Ghana,K League 1,Jeonbuk Hyundai,,,,,
7937,Daniel Afriyie,67,84,67,59,72,38,55,ST,3,23,Ghana,CSSL,FC Zürich,,,,,
7937,Bashkim Ajdini,67,78,63,65,69,59,59,RB,3,31,Kosovo,3. Liga,VfL Osnabrück,,,,,
7937,Alban Ajdini,67,74,69,63,69,33,65,ST,3,25,Kosovo,CSSL,Lausanne-Sport,,,,,
7937,Albian Ajeti,67,71,67,55,66,28,70,ST,3,27,Switzerland,CSSL,FC Basel 1893,,,,,
7937,Ebenezer Akinsanmiro,67,76,67,67,70,61,72,CM,2,19,Nigeria,Serie BKT,Sampdoria,,,,,
7937,Abdullah Al Ammar,67,76,51,64,69,59,68,LB,2,30,Saudi Arabia,ROSHN Saudi League,Al Ahli,,,,,
7937,Saleh Al Amri,67,79,60,63,66,27,65,LM,3,30,Saudi Arabia,ROSHN Saudi League,Al Raed,,,,,
7937,Faisal Al Ghamdi,67,66,53,63,70,63,78,CM,3,23,Saudi Arabia,1A Pro League,K. Beerschot VA,,,,,
7937,Khaled Al Hashmi,67,67,31,43,47,68,72,CB,2,27,United Arab Emirates,United Emirates League,Al Ain FC,,,,,
7937,Musab Al Juwair,67,66,62,70,68,52,68,CM,3,21,Saudi Arabia,ROSHN Saudi League,Al Shabab,,,,,
7937,Fawaz Al Sagour,67,92,45,61,64,55,64,RB,2,28,Saudi Arabia,ROSHN Saudi League,Al Ittihad,,,,,
7937,Muhannad Al Shanqeeti,67,81,42,55,64,61,69,RB,2,25,Saudi Arabia,ROSHN Saudi League,Al Ittihad,,,,,
7937,Andreas Albers,67,53,65,45,59,29,75,ST,2,34,Denmark,Bundesliga,FC St. Pauli,,,,,
7937,Juan Fernando Alfaro,67,66,50,64,67,64,65,CDM,3,24,Argentina,Sudamericana,Club Nacional,,,,,
7937,Baba Alhassan,67,81,65,61,69,60,80,CM,3,24,Ghana,SUPERLIGA,FCSB,,,,,
7937,Isnik Alimi,67,64,58,66,64,63,66,CDM,2,30,North Macedonia,SUPERLIGA,Sepsi OSK,,,,,
7937,Fidan Aliti,67,63,46,57,60,65,80,CB,2,30,Kosovo,Trendyol Süper Lig,Alanyaspor,,,,,
7937,Julio Alonso,67,70,36,54,64,67,59,LB,3,25,Spain,LALIGA HYPERMOTION,CD Mirandés,,,,,
7937,Favio Álvarez,67,64,65,67,67,40,66,CAM,4,31,Argentina,Sudamericana,Lanús,,,,,
7937,Iker Álvarez,67,67,66,67,68,38,68,GK,1,23,Andorra,LALIGA EA SPORTS,Villarreal CF,67.0,66.0,67.0,68.0,68.0
7937,Frederik Alves,67,49,31,44,51,67,73,CB,2,24,Denmark,3F Superliga,Brøndby IF,,,,,
7937,Léo Chú,67,87,64,54,75,28,47,LM,4,24,Brazil,MLS,Sounders FC,,,,,
7937,Kelvin,67,74,60,62,69,24,50,LM,3,27,Brazil,K League 1,Daejeon,,,,,
7937,Gustavo Henrique,67,70,66,59,70,32,64,RW,3,25,Brazil,Liga Portugal,Estrela Amadora,,,,,
7937,Etienne Amenyido,67,75,63,58,71,38,65,ST,3,26,Togo,Bundesliga 2,Preußen Münster,,,,,
7937,Jamal Amofa,67,75,34,49,65,65,73,CB,2,25,Holland,Eredivisie,Go Ahead Eagles,,,,,
7937,An Jae Jun,67,79,66,47,65,24,59,ST,3,23,Korea Republic,K League 1,Pohang Steelers,,,,,
7937,Gregori Anangonó,67,81,53,62,65,62,70,RB,3,26,Ecuador,Sudamericana,U. Católica,,,,,
7937,Emiliano Ancheta,67,66,30,58,63,69,71,RB,2,25,Uruguay,Sudamericana,Danubio,,,,,
7937,Jeppe Andersen,67,67,61,64,67,61,81,CM,3,31,Denmark,3F Superliga,Silkeborg IF,,,,,
7937,Adam Andersson,67,75,45,60,65,61,67,RB,2,27,Sweden,Eliteserien,Rosenborg BK,,,,,
7937,Elias Andersson,67,65,60,70,68,60,68,LB,3,28,Sweden,PKO BP Ekstraklasa,Lech Poznań,,,,,
7937,Lorenzo Andrenacci,67,67,68,61,68,50,68,GK,1,29,Italy,Serie BKT,Brescia,67.0,68.0,61.0,68.0,68.0
7937,Ryan Andrews,67,85,45,57,67,61,58,RB,2,20,England,EFL Championship,Watford,,,,,
7937,Nilson Angulo,67,80,60,60,70,34,50,LW,4,21,Ecuador,1A Pro League,RSC Anderlecht,,,,,
7937,Peter Ankersen,67,74,54,60,67,61,67,RB,3,33,Denmark,3F Superliga,FC Nordsjælland,,,,,
7937,Janis Antiste,67,79,67,50,67,20,62,ST,3,22,France,Serie BKT,Sassuolo,,,,,
7937,Mateo Antoni,67,53,38,55,52,68,67,CB,2,21,Uruguay,Libertadores,Nacional,,,,,
7937,Valentin Antov,67,56,38,48,57,66,76,CB,2,23,Bulgaria,Serie BKT,Cremonese,,,,,
7937,Francisco Apaolaza,67,68,68,54,63,35,66,ST,2,27,Argentina,Sudamericana,Carabobo FC,,,,,
7937,Leonardo Aponte,67,70,30,52,62,68,68,CB,2,30,Venezuela,Sudamericana,Carabobo FC,,,,,
7937,Jon Mikel Aramburu,67,71,46,59,62,64,62,RB,2,22,Venezuela,LALIGA EA SPORTS,Real Sociedad,,,,,
7937,Arana,67,71,67,54,68,33,62,ST,3,24,Spain,LALIGA HYPERMOTION,R. Racing Club,,,,,
7937,Diego Armas,67,68,65,65,65,53,64,CAM,4,34,Ecuador,Sudamericana,Técnico U.,,,,,
7937,Yoël Armougom,67,79,42,55,65,60,66,LB,2,26,France,Ligue 2 BKT,Clermont Foot 63,,,,,
7937,Jaime Arrascaita,67,82,56,61,67,37,46,RM,3,31,Bolivia,Libertadores,The Strongest,,,,,
7937,Ahmet Arslan,67,66,68,67,71,57,67,CM,3,30,Germany,3. Liga,Rot-Weiss Essen,,,,,
7937,Andrei Artean,67,66,62,60,62,65,77,CDM,2,31,Romania,SUPERLIGA,CFR 1907 Cluj,,,,,
7937,Gjermund Åsen,67,55,65,69,69,51,70,CM,3,33,Norway,Eliteserien,Lillestrøm SK,,,,,
7937,Kristoffer Askildsen,67,53,55,64,66,61,70,CM,2,23,Norway,3F Superliga,FC Midtjylland,,,,,
7937,Dairon Asprilla,67,74,69,61,68,44,70,LM,3,32,Colombia,Liga Colombia,Atl. Nacional,,,,,
7937,Tomás Asta-Buruaga,67,62,42,51,51,68,72,CB,2,27,Chile,Sudamericana,Everton,,,,,
7937,Jani Atanasov,67,71,60,68,66,61,73,CM,2,24,North Macedonia,PKO BP Ekstraklasa,Cracovia,,,,,
7937,Julián Aude,67,72,46,62,75,60,64,LB,3,21,Argentina,MLS,LA Galaxy,,,,,
7937,Rafał Augustyniak,67,65,48,59,59,66,78,CB,2,30,Poland,PKO BP Ekstraklasa,Legia Warszawa,,,,,
7937,Giuseppe Aurelio,67,83,63,63,66,60,74,LB,3,24,Italy,Serie BKT,Spezia,,,,,
7937,Douglas Aurélio,67,78,66,62,68,56,63,LM,3,25,Brazil,LALIGA HYPERMOTION,CD Castellón,,,,,
7937,David Ayala,67,72,45,62,67,63,56,CDM,3,22,Argentina,MLS,Portland Timbers,,,,,
7937,Julian Baas,67,62,56,68,65,57,74,CM,3,22,Holland,Eredivisie,Sparta Rotterdam,,,,,
7937,Youri Baas,67,70,39,58,65,63,63,LB,2,21,Holland,Eredivisie,Ajax,,,,,
7937,Isaac Babadi,67,71,52,59,73,43,57,CAM,3,19,Holland,Eredivisie,PSV,,,,,
7937,Renzo Bacchia,67,67,66,62,66,31,66,GK,1,25,Uruguay,Sudamericana,Racing Club,67.0,66.0,62.0,66.0,66.0
7937,Felix Bacher,67,57,34,41,46,65,80,CB,2,24,Austria,Liga Portugal,Estoril Praia,,,,,
7937,Janik Bachmann,67,63,55,59,57,64,80,CDM,2,28,Germany,Bundesliga 2,FC Schalke 04,,,,,
7937,William Baeten,67,76,63,62,67,52,68,RM,3,27,Belgium,SUPERLIGA,FCSB,,,,,
7937,Jean-Mattéo Bahoya,67,76,64,60,72,40,56,LM,4,19,France,Bundesliga,Frankfurt,,,,,
7937,Mike-Steven Bähre,67,74,63,65,70,57,70,CM,3,29,Germany,Ö. Bundesliga,SCR Altach,,,,,
7937,Ștefan Baiaram,67,84,59,61,69,29,60,CAM,3,21,Romania,SUPERLIGA,Univ. Craiova,,,,,
7937,Saïd Bakari,67,78,57,60,67,61,74,RB,3,29,Netherlands,Eredivisie,Sparta Rotterdam,,,,,
7937,Younes Bakiz,67,75,65,62,68,29,64,LW,3,25,Denmark,3F Superliga,Silkeborg IF,,,,,
7937,Max Balard,67,63,53,63,67,58,69,CM,3,23,Australia,Eredivisie,NAC Breda,,,,,
7937,Silviu Balaure,67,77,60,62,68,43,66,RM,3,28,Romania,SUPERLIGA,FC Hermannstadt,,,,,
7937,Thierno Baldé,67,77,48,59,67,63,63,RB,2,22,France,Ligue 2 BKT,ESTAC Troyes,,,,,
7937,Radinio Balker,67,86,30,53,48,66,74,CB,2,26,Suriname,EFL League One,Huddersfield,,,,,
7937,Florian Ballas,67,54,41,43,38,66,78,CB,2,31,Germany,Bundesliga 2,Jahn Regensburg,,,,,
7937,Tiago Banega,67,70,65,66,71,57,61,CM,3,25,Argentina,Primera División,Unión,,,,,
7937,Ezechiel Banzuzi,67,67,61,62,64,59,71,CM,2,19,Holland,1A Pro League,OH Leuven,,,,,
7937,Marcel Bär,67,82,65,60,66,40,67,ST,3,32,Germany,3. Liga,FC Erzgebirge Aue,,,,,
7937,Jorge Teixeira,67,79,62,47,61,25,81,ST,2,25,Brazil,K League 1,Pohang Steelers,,,,,
7937,Ahmed Barman,67,60,47,58,60,66,74,CDM,2,30,United Arab Emirates,United Emirates League,Al Ain FC,,,,,
7937,Daniel Barrea,67,81,66,58,68,29,71,RW,3,23,Argentina,Primera División,Godoy Cruz,,,,,
7937,Mons Bassouamina,67,82,65,54,69,21,63,LM,3,26,Congo,Ligue 2 BKT,Clermont Foot 63,,,,,
7937,Bastida,67,52,41,58,57,67,48,CDM,2,20,Spain,LALIGA HYPERMOTION,Cádiz CF,,,,,
7937,Nick Bätzner,67,68,60,68,70,53,59,CAM,3,24,Germany,3. Liga,Wehen Wiesbaden,,,,,
7937,Patrick Bauer,67,29,38,47,40,67,70,CB,2,31,Germany,EFL Championship,Preston,,,,,
7937,Dominic Baumann,67,66,67,53,62,29,74,ST,3,29,Germany,3. Liga,SV Sandhausen,,,,,
7937,Raúl Becerra,67,53,69,46,63,28,67,ST,3,36,Argentina,Sudamericana,Dep. Cuenca,,,,,
7937,Timo Beermann,67,32,39,47,43,67,76,CB,2,33,Germany,3. Liga,VfL Osnabrück,,,,,
7937,Aziz Behich,67,76,60,65,69,61,68,LB,3,33,Australia,A-League,Melbourne City,,,,,
7937,Raffael Behounek,67,58,27,44,44,66,79,CB,2,27,Austria,Eredivisie,Willem II,,,,,
7937,Łukasz Bejger,67,78,31,51,56,67,70,CB,2,22,Poland,PKO BP Ekstraklasa,Śląsk Wrocław,,,,,
7937,Ismajl Beka,67,57,39,44,43,65,74,CB,2,24,Kosovo,CSSL,FC Luzern,,,,,
7937,Zineddine Belaïd,67,63,28,56,54,68,67,CB,2,25,Algeria,1A Pro League,STVV,,,,,
7937,Luca Belardinelli,67,68,51,63,61,64,70,CDM,2,23,Italy,Serie A Enilive,Empoli,,,,,
7937,Joe Bell,67,63,61,66,66,63,78,CM,3,25,New Zealand,Eliteserien,Viking FK,,,,,
7937,Steven Benda,67,67,65,61,70,37,66,GK,1,25,Germany,Premier League,Fulham,67.0,65.0,61.0,66.0,70.0
7937,Leonardo Benedetti,67,73,53,66,69,58,64,CM,2,24,Italy,Serie BKT,Sampdoria,,,,,
7937,Nicolás Benegas,67,57,67,48,66,27,78,ST,2,28,Argentina,Primera División,Dep. Riestra,,,,,
7937,Florin Berenguer,67,57,62,67,68,53,65,CAM,3,35,France,A-League,Brisbane Roar,,,,,
7937,Gustav Berggren,67,56,53,64,65,62,76,CM,2,27,Sweden,PKO BP Ekstraklasa,Raków,,,,,
7937,Antoine Bernier,67,80,67,63,70,37,63,ST,3,27,Belgium,1A Pro League,Sp. Charleroi,,,,,
7937,Luke Berry,67,59,65,66,70,62,62,CM,3,32,England,EFL League One,Charlton Ath,,,,,
7937,Adriano Bertaccini,67,75,67,59,68,28,60,ST,2,24,Belgium,1A Pro League,STVV,,,,,
7937,Ovidiu Bic,67,68,56,60,63,62,75,CDM,2,30,Romania,SUPERLIGA,FC Univ. Cluj,,,,,
7937,Vahan Bichakhchyan,67,78,67,64,67,55,61,RM,3,25,Armenia,PKO BP Ekstraklasa,Pogoń Szczecin,,,,,
7937,Tyler Bindon,67,60,32,49,58,67,70,CB,2,19,New Zealand,EFL League One,Reading,,,,,
7937,Tayfur Bingöl,67,76,60,64,66,60,69,LB,3,31,Turkey,Trendyol Süper Lig,Eyüpspor,,,,,
7937,Juan Bisanz,67,75,62,59,68,47,55,RM,3,23,Argentina,Primera División,Banfield,,,,,
7937,Birkir Bjarnason,67,62,67,66,67,63,75,CAM,3,36,Iceland,Serie BKT,Brescia,,,,,
7937,Martin Bjørnbak,67,36,47,57,50,65,80,CB,2,32,Norway,Eliteserien,Molde FK,,,,,
7937,Sondre Flem Bjørshol,67,76,41,58,61,61,73,RB,2,30,Norway,Eliteserien,Viking FK,,,,,
7937,Jérémy Blasco,67,66,41,59,55,66,77,CB,2,25,France,LALIGA HYPERMOTION,SD Huesca,,,,,
7937,Roberto Bochi,67,63,45,63,66,62,61,CDM,2,34,Argentina,Primera División,Instituto,,,,,
7937,Rodrigo Bogarín,67,72,61,64,69,22,66,CAM,3,27,Paraguay,Sudamericana,Defensa,,,,,
7937,Marc Bola,67,74,35,53,63,64,70,LB,2,26,England,Trendyol Süper Lig,Samsunspor,,,,,
7937,Marcos Bolados,67,80,60,61,69,49,58,RW,4,28,Chile,Libertadores,Colo-Colo,,,,,
7937,Bendegúz Bolla,67,78,54,60,68,60,65,RB,3,24,Hungary,Ö. Bundesliga,SK Rapid,,,,,
7937,Moïse Bombito,67,91,47,57,62,66,70,CB,2,24,Canada,Ligue 1 McDonald's,OGC Nice,,,,,
7937,Nicholas Bonfanti,67,71,67,48,67,29,61,ST,3,22,Italy,Serie BKT,Pisa,,,,,
7937,Leonel Bontempo,67,71,48,56,63,61,58,LB,2,31,Argentina,Sudamericana,Wanderers,,,,,
7937,Gui Guedes,67,66,60,65,68,59,57,CM,2,22,Portugal,LALIGA HYPERMOTION,UD Almería,,,,,
7937,Benjamin Bouchouari,67,64,54,67,71,52,55,CM,3,22,Morocco,Ligue 1 McDonald's,AS Saint-Étienne,,,,,
7937,Khalid Boutaïb,67,49,68,60,66,36,77,ST,4,37,Morocco,Ligue 2 BKT,Pau FC,,,,,
7937,Amine Boutrah,67,87,62,61,69,29,61,LM,3,23,France,Ligue 2 BKT,SC Bastia,,,,,
7937,Robbie Brady,67,61,64,73,69,64,64,LB,3,32,Republic of Ireland,EFL Championship,Preston,,,,,
7937,Per Kristian Bråtveit,67,66,64,68,68,48,66,GK,1,28,Norway,Eliteserien,Strømsgodset IF,66.0,64.0,68.0,66.0,68.0
7937,Pedro Brazão,67,75,55,64,73,39,48,RM,3,21,Portugal,Trendyol Süper Lig,Bodrum FK,,,,,
7937,Michael Breij,67,73,65,66,66,42,62,RW,3,27,Holland,SUPERLIGA,Sepsi OSK,,,,,
7937,Rhian Brewster,67,76,68,55,70,20,61,ST,3,24,England,EFL Championship,Sheffield Utd,,,,,
7937,Nicolò Brighenti,67,70,40,51,55,67,73,CB,2,35,Italy,Serie BKT,Catanzaro,,,,,
7937,Jake Brimmer,67,66,60,68,69,58,67,CAM,3,26,Australia,A-League,Auckland FC,,,,,
7937,Brandt Bronico,67,67,59,63,67,64,72,CM,3,29,United States,MLS,Charlotte FC,,,,,
7937,Luuk Brouwers,67,63,62,67,67,62,74,CAM,3,26,Holland,Eredivisie,sc Heerenveen,,,,,
7937,Ciaron Brown,67,66,46,53,58,67,73,CB,2,26,Northern Ireland,EFL Championship,Oxford United,,,,,
7937,Buatu,67,56,41,51,54,65,77,CB,2,30,Angola,Liga Portugal,Gil Vicente,,,,,
7937,Constantin Budescu,67,39,70,75,71,26,50,LW,4,35,Romania,SUPERLIGA,FC Gloria Buzău,,,,,
7937,Gonzalo Bueno,67,76,67,67,67,25,57,LW,3,31,Uruguay,Sudamericana,Danubio,,,,,
7937,Oliver Bundgaard,67,84,49,59,66,60,60,LB,2,23,Denmark,3F Superliga,Viborg FF,,,,,
7937,Filip Bundgaard,67,74,68,64,73,38,59,ST,3,20,Denmark,3F Superliga,Brøndby IF,,,,,
7937,Sascha Burchert,67,66,66,62,64,43,70,GK,1,34,Germany,Bundesliga,FC St. Pauli,66.0,66.0,62.0,70.0,64.0
7937,Guillermo Burdisso,67,32,41,52,48,66,73,CB,2,35,Argentina,Primera División,Huracán,,,,,
7937,Valentín Burgoa,67,77,57,63,73,54,60,CAM,3,24,Argentina,Primera División,Sarmiento,,,,,
7937,Esteban Burgos,67,50,47,46,53,66,81,CB,2,32,Argentina,Primera División,Ind. Rivadavia,,,,,
7937,Graham Burke,67,63,69,66,69,29,60,LW,3,30,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers,,,,,
7937,Oliver Burke,67,87,63,61,62,37,73,RM,3,27,Scotland,Bundesliga,SV Werder Bremen,,,,,
7937,Oriol Busquets,67,36,43,64,61,64,67,CDM,2,25,Spain,Liga Portugal,Arouca,,,,,
7937,Butzke,67,71,66,46,64,23,58,ST,3,25,Spain,Liga Portugal,Nacional,,,,,
7937,Zico Buurmeester,67,60,60,65,67,61,69,CM,3,22,Holland,Eredivisie,AZ,,,,,
7937,Cătălin Căbuz,67,69,62,62,72,35,63,GK,1,28,Romania,SUPERLIGA,FC Hermannstadt,69.0,62.0,62.0,63.0,72.0
